Id		Attribute_fix	Attribute_fixminus	Attribute_percent	Attribute_percentminus	Add_kill
int		string	string	string	string	int
宝石id	备注	增加固定属性数值。格式为：属性Id|数值;属性Id|数值……（实际使用会除以@item_attritube%param_rate）	减少固定属性数值。格式为：属性Id|数值;属性Id|数值……（实际使用会除以@item_attritube%param_rate）	增加百分比属性数值。格式为：属性Id|数值;属性Id|数值……（1固定表示10000分之一）	减少百分比属性数值。格式为：属性Id|数值;属性Id|数值……（1固定表示10000分之一）	"增加技能id,skilllevelID"
7100000		1001|30;1002|6000;1003|1650		2001|30	2002|1000	
7100001		1001|30;1002|6000;1003|1650		2001|30	2002|1000	
7100002		1001|30;1002|6000;1003|1650		2001|30	2002|1000	
7100003		1001|30;1002|6000;1003|1650		2001|30	2002|1000	
7100004		1001|30;1002|6000;1003|1650		2001|30	2002|1000	
7100005		1001|30;1002|6000;1003|1650		2001|30	2002|1000	
7100006						1001
7100007						1001
7100008						1001
