ID	Level	Type	Number	Weight	Map	Soldier_Quantity	Soldier_Pool	Initial_Troops	Reward
int	int	int	int	int	int	int	string	int	string
//关卡表	等级	类型（1=县城，2=省城，3=都城）	对手数（地块当前与几个敌方接触）	权重	地图id	兵种数量，对手的兵种数量	兵种库（兵种id，兵种随机权重）	玩家初始兵力	奖励
1001001	1	1	1	30		3		100	
1001002	1	1	1	30		3		100	
1001003	1	1	1	40		3		100	
1001004	1	1	2	30		3		100	
1001005	1	1	2	30		3		100	
1001006	1	1	2	40		3		100	
1001007	1	1	3	50		3		100	
1001008	1	1	3	50		3		100	
1001009	1	2	1	30		3		100	
1001010	1	2	1	30		3		100	
1001011	1	2	1	40		3		100	
1001012	1	2	2	30		3		100	
1001013	1	2	2	30		3		100	
1001014	1	2	2	40		3		100	
1001015	1	2	3	50		3		100	
1001016	1	2	3	50		3		100	
1001017	1	3	1	30		4		100	
1001018	1	3	1	30		4		100	
1001019	1	3	1	40		4		100	
1001020	1	3	2	30		4		100	
1001021	1	3	2	30		4		100	
1001022	1	3	2	40		4		100	
1001023	1	3	3	50		4		100	
1001024	1	3	3	50		4		100	
1002001	2	1	1	30		4		120	
1002002	2	1	1	30		4		120	
1002003	2	1	1	40		4		120	
1002004	2	1	2	30		4		120	
1002005	2	1	2	30		4		120	
1002006	2	1	2	40		4		120	
1002007	2	1	3	50		4		120	
1002008	2	1	3	50		4		120	
1002009	2	2	1	30		4		120	
1002010	2	2	1	30		4		120	
1002011	2	2	1	40		4		120	
1002012	2	2	2	30		4		120	
1002013	2	2	2	30		4		120	
1002014	2	2	2	40		4		120	
1002015	2	2	3	50		4		120	
1002016	2	2	3	50		4		120	
1002017	2	3	1	30		5		120	
1002018	2	3	1	30		5		120	
1002019	2	3	1	40		5		120	
1002020	2	3	2	30		5		120	
1002021	2	3	2	30		5		120	
1002022	2	3	2	40		5		120	
1002023	2	3	3	50		5		120	
1002024	2	3	3	50		5		120	
1003001	3	1	1	30		4		140	
1003002	3	1	1	30		4		140	
1003003	3	1	1	40		4		140	
1003004	3	1	2	30		4		140	
1003005	3	1	2	30		4		140	
1003006	3	1	2	40		4		140	
1003007	3	1	3	50		4		140	
1003008	3	1	3	50		4		140	
1003009	3	2	1	30		4		140	
1003010	3	2	1	30		4		140	
1003011	3	2	1	40		4		140	
1003012	3	2	2	30		4		140	
1003013	3	2	2	30		4		140	
1003014	3	2	2	40		4		140	
1003015	3	2	3	50		4		140	
1003016	3	2	3	50		4		140	
1003017	3	3	1	30		5		140	
