itemid_k	des	namesid	dessid	icon	itemtype	subtype	ruleid	rarevalue	level	maxnum	uselogic	parameter_1	parameter_2	parameter_3
int	char	int	int	string	int	int	int	int	int	int	int	int	int	string
"//ID
道具id0-199999999
装备id200000000-299999999
"	备注	道具名称id	道具说明id	道具icon	道具类型1=道具，2=装备	小类型	"使用方式
空=不能使用
1=自动使用
2=手动使用"	品质，1=白色，2=绿，3=蓝；4=紫，5=橙色	等级	最大堆叠数量	"使用逻辑
1：打开礼包：礼包ID|礼包系数
2：获得货币：货币类型|数量
5：获得士兵：士兵ID|数量
"	参数1	参数2	参数3
														
1	经验	10005	22		1	0	1	3	1	999999999	2	1000	1	
2	金币	10001	22		1	0	1	3	1	999999999	2	1	1	
3	体力	10006	22		1	0	1	3	1	999999999	2	5	1	
101000101	普通宝箱				1			3	1	999	1			
101000102	普通宝箱				1			3	11	999	1			
101000103	普通宝箱				1			3	21	999	1			
101000104	普通宝箱				1			3	31	999	1			
101000105	普通宝箱				1			3	41	999	1			
101000106	普通宝箱				1			3	51	999	1			
101000107	普通宝箱				1			3	61	999	1			
101000108	普通宝箱				1			3	71	999	1			
101000109	普通宝箱				1			3	81	999	1			
101000110	普通宝箱				1			3	91	999	1			
101000201	普通宝箱				1			3	1	999	1			
101000202	普通宝箱				1			3	11	999	1			
101000203	普通宝箱				1			3	21	999	1			
101000204	普通宝箱				1			3	31	999	1			
101000205	普通宝箱				1			3	41	999	1			
101000206	普通宝箱				1			3	51	999	1			
101000207	普通宝箱				1			3	61	999	1			
101000208	普通宝箱				1			3	71	999	1			
101000209	普通宝箱				1			3	81	999	1			
101000210	普通宝箱				1			3	91	999	1			
101000301	普通宝箱				1			3	1	999	1			
101000302	普通宝箱				1			3	11	999	1			
101000303	普通宝箱				1			3	21	999	1			
101000304	普通宝箱				1			3	31	999	1			
101000305	普通宝箱				1			3	41	999	1			
101000306	普通宝箱				1			3	51	999	1			
101000307	普通宝箱				1			3	61	999	1			
101000308	普通宝箱				1			3	71	999	1			
101000309	普通宝箱				1			3	81	999	1			
101000310	普通宝箱				1			3	91	999	1			
101000401	普通宝箱				1			3	1	999	1			
101000402	普通宝箱				1			3	11	999	1			
101000403	普通宝箱				1			3	21	999	1			
101000404	普通宝箱				1			3	31	999	1			
101000405	普通宝箱				1			3	41	999	1			
101000406	普通宝箱				1			3	51	999	1			
101000407	普通宝箱				1			3	61	999	1			
101000408	普通宝箱				1			3	71	999	1			
101000409	普通宝箱				1			3	81	999	1			
101000410	普通宝箱				1			3	91	999	1			
101000501	普通宝箱				1			3	1	999	1			
101000502	普通宝箱				1			3	11	999	1			
101000503	普通宝箱				1			3	21	999	1			
101000504	普通宝箱				1			3	31	999	1			
101000505	普通宝箱				1			3	41	999	1			
101000506	普通宝箱				1			3	51	999	1			
101000507	普通宝箱				1			3	61	999	1			
101000508	普通宝箱				1			3	71	999	1			
