id		model	Stand	Running	Death	zoom
int		string	string	string	string	string
	名字备注	模型资源	待机动作	奔跑动作	死亡动作	缩放
1001001		WK_Archer_A	Stand	Running	Death_1	1
1001002		WK_Archer_B	Stand	Running	Death_1	1
1001003		WK_Heavy_Infantry_A	Stand	Running	Death_1	1
1001004		WK_Heavy_Infantry_B	Stand	Running	Death_1	1
1001005		WK_Light_Infantry_A	Stand	Running	Death_1	1
1001006		WK_Light_Infantry_B	Stand	Running	Death_1	1
1001007		WK_Mage_A	Stand	Running	Death_1	1
1001008		WK_Mage_B	Stand	Running	Death_1	1
1001009		WK_Priest_A	Stand	Running	Death_1	1
1001010		WK_Priest_B	Stand	Running	Death_1	1
1001011		WK_Spearman_A	Stand	Running	Death_1	1
1001012		WK_Spearman_B	Stand	Running	Death_1	1
