npcid_k		nameid	icon	Type	quality	camp	sex	level	vocation	model	fee	avalue_base	avalue_senior	Attack_range	Pursuit_distance	skill	skill_passive	build_time	next	upgrade_gold	upgrade_item
int		int	string	int	int	int	int	int	int	int	int	string	string	int	int	double	double	int	int	int	string
"//注释,npcid"	备注	npc名字	头像	类型1=玩家士兵，2=怪物士兵	品质1=绿，2=蓝，3=紫，4=橙	阵营1=默认，2=玩家，3=怪	性别1=男，2=女	等级	职业类型，1=近战，2=远程，3=骑兵，4=机械，5=辅助	士兵模型	士兵的费值（也代表士兵的战力和兵力）	士兵基础属性属性id，值，属性id，值	士兵高级基础属性属性id，值，属性id，值	攻击距离	追击距离	主动技能	被动技能	士兵建造时间单位秒	下一级士兵	士兵升级消耗金币	升级消耗道具
100010001	刀盾兵	1000016		1	1	2	1	1	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010002	12	
100010002	刀盾兵	1000016		1	1	2	1	2	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010003	23	
100010003	刀盾兵	1000016		1	1	2	1	3	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010004	35	
100010004	刀盾兵	1000016		1	1	2	1	4	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010005	47	
100010005	刀盾兵	1000016		1	1	2	1	5	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010006	59	
100010006	刀盾兵	1000016		1	1	2	1	6	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010007	70	
100010007	刀盾兵	1000016		1	1	2	1	7	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010008	82	
100010008	刀盾兵	1000016		1	1	2	1	8	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010009	94	
100010009	刀盾兵	1000016		1	1	2	1	9	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010010	117	
100010010	刀盾兵	1000016		1	1	2	1	10	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010011	140	
100010011	刀盾兵	1000016		1	1	2	1	11	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010012	164	
100010012	刀盾兵	1000016		1	1	2	1	12	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010013	187	
100010013	刀盾兵	1000016		1	1	2	1	13	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010014	211	
100010014	刀盾兵	1000016		1	1	2	1	14	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010015	281	
100010015	刀盾兵	1000016		1	1	2	1	15	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010016	351	
100010016	刀盾兵	1000016		1	1	2	1	16	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010017	421	
100010017	刀盾兵	1000016		1	1	2	1	17	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010018	515	
100010018	刀盾兵	1000016		1	1	2	1	18	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010019	608	
100010019	刀盾兵	1000016		1	1	2	1	19	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010020	702	
100010020	刀盾兵	1000016		1	1	2	1	20	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010021	796	
100010021	刀盾兵	1000016		1	1	2	1	21	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010022	936	
100010022	刀盾兵	1000016		1	1	2	1	22	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010023	1170	
100010023	刀盾兵	1000016		1	1	2	1	23	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010024	1521	
100010024	刀盾兵	1000016		1	1	2	1	24	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010025	1755	
100010025	刀盾兵	1000016		1	1	2	1	25	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010026	2048	
100010026	刀盾兵	1000016		1	1	2	1	26	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010027	2399	
100010027	刀盾兵	1000016		1	1	2	1	27	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010028	2750	
100010028	刀盾兵	1000016		1	1	2	1	28	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010029	3101	
100010029	刀盾兵	1000016		1	1	2	1	29	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010030	3744	
100010030	刀盾兵	1000016		1	1	2	1	30	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010031	4329	
100010031	刀盾兵	1000016		1	1	2	1	31	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010032	5031	
100010032	刀盾兵	1000016		1	1	2	1	32	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010033	5733	
100010033	刀盾兵	1000016		1	1	2	1	33	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010034	6552	
100010034	刀盾兵	1000016		1	1	2	1	34	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010035	7371	
100010035	刀盾兵	1000016		1	1	2	1	35	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010036	8190	
100010036	刀盾兵	1000016		1	1	2	1	36	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010037	9009	
100010037	刀盾兵	1000016		1	1	2	1	37	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010038	9828	
100010038	刀盾兵	1000016		1	1	2	1	38	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010039	10647	
100010039	刀盾兵	1000016		1	1	2	1	39	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	100010040	11466	
100010040	刀盾兵	1000016		1	1	2	1	40	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2	-1	12285	
100020001	巨盾兵	1000017		1	2	2	1	1	1	1001002	3	"Att,2;Hp,20;Speed,5"	"Vision,10"	1	10			5			
100030001	短弓手	1000018		1	3	2	1	1	2	1001003	2	"Att,4;Hp,5;Speed,5"	"Vision,10"	5	10			2			
100040001	长弓手	1000019		1	4	2	1	1	2	1001004	3	"Att,5;Hp,8;Speed,5"	"Vision,10"	5	10			5			
100050001	轻骑兵	1000020		1	1	2	1	1	3	1001005	2	"Att,3;Hp,7;Speed,10"	"Vision,10"	2	10			2			
100060001	重骑兵	1000021		1	2	2	1	1	3	1001006	3	"Att,4;Hp,10;Speed,10"	"Vision,10"	2	10			5			
100070001	冲车	1000022		1	3	2	1	1	4		2	"Att,1;Hp,20;Speed,3"	"Vision,10"	1	10			2			
100080001	投石车	1000023		1	4	2	1	1	4		3	"Att,2;Hp,30;Speed,3"	"Vision,10"	1	10			5			
100090001	军医	1000024		1	1	2	1	1	5		2	"Att,1;Hp,15;Speed,5"	"Vision,10"	3	10			2			
100100001	巫医	1000025		1	2	2	1	1	5		3	"Att,2;Hp,25;Speed,5"	"Vision,10"	3	10			5			
200010001	刀盾兵	1000016		2	1	3	1	1	1	1001001	2	"Att,2;Hp,10;Speed,5"	"Vision,10"	1	10			2			
200020001	巨盾兵	1000017		2	2	3	1	1	1	1001002	3	"Att,2;Hp,20;Speed,5"	"Vision,10"	1	10			5			
200030001	短弓手	1000018		2	3	3	1	1	2	1001003	2	"Att,4;Hp,5;Speed,5"	"Vision,10"	5	10			2			
200040001	长弓手	1000019		2	4	3	1	1	2	1001004	3	"Att,5;Hp,8;Speed,5"	"Vision,10"	5	10			5			
