ID	expcost
int	int
//角色等级	升到下一级经验
1	13
2	16
3	23
4	34
5	49
6	68
7	91
8	118
9	149
10	184
11	209
12	220
13	237
14	260
15	289
16	324
17	365
18	412
19	465
20	524
21	591
22	606
23	629
24	660
25	699
26	746
27	801
28	864
29	935
30	1014
31	1142
32	1158
33	1182
34	1214
35	1254
36	1302
37	1358
38	1422
39	1494
40	1574
41	1784
42	1804
43	1834
44	1874
45	1924
46	1984
47	2054
48	2134
49	2224
50	2324
51	2636
52	2684
53	2804
54	3032
55	3404
56	3956
57	4724
58	5744
59	7052
60	8684
61	9118
62	9174
63	9314
64	9580
65	10014
66	10658
67	11554
68	12744
69	14270
70	16174
71	16750
72	16814
73	16974
74	17278
75	17774
76	18510
77	19534
78	20894
79	22638
80	24814
81	25552
82	25624
83	25804
84	26146
85	26704
86	27532
87	28684
88	30214
89	32176
90	34624
91	35544
92	35624
93	35824
94	36204
95	36824
96	37744
97	39024
98	40724
99	42904
100	45624
